Question,Option1,Option2,Option3,Option4,Answer
b'50.  The routing table of a router is shown below:\r  Destination     Sub net mask \t     Interface\r 128.75.43.0 \t 255.255.255.0 \t        Eth0\r 128.75.43.0 \t 255.255.255.128 \t        Eth1\r 192.12.17.5 \t 255.255.255.255   \tEth3\r default \t  \t                                        Eth2\r On which interfaces will the router forward packets addressed to destinations 128.75.43.16 and 192.12.17.10 respectively?\n',b'a.Eth1 and Eth2',b'b.Eth0 and Eth2',b'c.Eth0 and Eth3',b'd.Eth1 and Eth3',b'\nAnswer: (a).Eth1 and Eth2\n'
b'51.  Which of the following assertions is FALSE about the Internet Protocol (IP) ?\n',b'a.It is possible for a computer to have multiple IP addresses',b'b.IP packets from the same source to the same destination can take different routes in the network',b'c.IP ensures that a packet is discarded if it is unable to reach its destination within a given number of hops',b'd.The packet source cannot set the route of an outgoing packets; the route is determined only by the routing tables in the routers on the way',b'\nAnswer: (d).The packet source cannot set the route of an outgoing packets; the route is determined only by the routing tables in the routers on the way\n'
b'52.  Routers forward a packet using forwarding table entries. The network address of incoming packet may match multiple entries. How routers resolve this?\n',b'a.Forward it the the router whose entry matches with the longest prefix of incoming packet',b'b.Forward the packet to all routers whose network addresses match',b'c.Discard the packet',b'd.Forward it the the router whose entry matches with the longest suffix of incoming packet',b'\nAnswer: (a).Forward it the the router whose entry matches with the longest prefix of incoming packet\n'
b'53.  Which one of the following fields of an IP header is NOT modified by a typical IP router?\n',b'a.Checksum',b'b.Source address',b'c.Time to Live (TTL)',b'd.Length',b'\nAnswer: (b).Source address\n'
"b'54.  In the network 200.10.11.144/27, the fourth octet (in decimal) of the last IP address of the network which can be assigned to a host is ________.\n'",b'a.158',b'b.255',b'c.222',b'd.223',b'\nAnswer: (a).158\n'
b'55.  If a Company require 60 hosts then What is the best possible subnet mask?\n',b'a.255.255.255.0',b'b.255.255.255.192',b'c.255.255.225.224',b'd.225.225.255.240',b'\nAnswer: (b).255.255.255.192\n'
"b'56.  In class C , if subnet mask is 255.255.255.224, then calculates number of subnet?\n'",b'a.6',b'b.8',b'c.4',b'd.None of the Above',b'\nAnswer: (a).6\n'
b'57.  A subnet has been assigned a subnet mask of 255.255.255.192. What is the maximum number of hosts that can belong to this subnet?\n',b'a.14',b'b.30',b'c.62',b'd.126',b'\nAnswer: (c).62\n'
"b'58.  A host is connected to a Department network which is part of a University network. The University network, in turn, is part of the Internet. The largest network in which the Ethernet address of the host is unique is:\n'",b'a.the subnet to which the host belongs',b'b.the Department network',b'c.the University network',b'd.the Internet',b'\nAnswer: (d).the Internet\n'
"b'59.  In TCP, a unique sequence number is assigned to each\n'",b'a.byte',b'b.word',b'c.segment',b'd.message',b'\nAnswer: (a).byte\n'
b'60.  Which of the following objects can be used in expressions and scriplets in JSP (Java Server Pages) without explicitly declaring them? \n',b'a.session and request only',b'b.request and response only',b'c.response and session only',"b'd.session, request and response'","b'\nAnswer: (d).session, request and response\n'"
"b'61.  In the TCP/IP protocol suite, which one of the following is NOT part of the IP header?\n'",b'a.Fragment Offset',b'b.Source IP address',b'c.Destination IP address',b'd.Destination port number',b'\nAnswer: (d).Destination port number\n'
"b'62.  Suppose that the maximum transmit window size for a TCP connection is 12000 bytes. Each packet consists of 2000 bytes. At some point of time, the connection is in slow-start phase with a current transmit window of 4000 bytes. Subsequently, the transmitter receives two acknowledgements. Assume that no packets are lost and there are no time-outs. What is the maximum possible value of the current transmit window?\n'",b'a.4000 bytes',b'b.8000 bytes',b'c.10000 bytes',b'd.12000 bytes',b'\nAnswer: (b).8000 bytes\n'
b'63.  Traceroute reports a possible route that is taken by packets moving from some host A to some other host B. Which of the following options represents the technique used by traceroute to identify these hosts\n',"b'a.By progressively querying routers about the next router on the path to B using ICMP packets, starting with the first router'",b'b.By requiring each router to append the address to the ICMP packet as it is forwarded to B. The list of all routers en-route to B is returned by B in an ICMP reply packet',"b'c.By ensuring that an ICMP reply packet is returned to A by each router en-route to B, in the ascending order of their hop distance from A'",b'd.By locally computing the shortest path from A to B',"b'\nAnswer: (a).By progressively querying routers about the next router on the path to B using ICMP packets, starting with the first router\n'"
b'64.  Count to infinity is a problem associated with\n',b'a.link state routing protocol',b'b.distance vector routing protocol',b'c.DNS while resolving host name',b'd.TCP for congestion control',b'\nAnswer: (b).distance vector routing protocol\n'
"b'65.  In a communication network, a packet of length L bits takes link L1 with a probability of p1or link L2 with a probability of p2. Link L1 and L2 have bit error probability of b1 and b2 respectively. The probability that the packet will be received without error via either L1 or L2 is\n'",b'a.(1 - b1)Lp1 + (1 - b2)Lp2',b'b.[1 - (b1 + b2)L]p1p2',b'c.(1 - b1)L (1 - b2)Lp1p2',b'd.1 - (b1Lp1 + b2Lp2)',b'\nAnswer: (a).(1 - b1)Lp1 + (1 - b2)Lp2\n'
"b'66.  A company has a class C network address of 204.204.204.0. It wishes to have three subnets, one with 100 hosts and two with 50 hosts each. Which one of the following options represents a feasible set of subnet address/subnet mask pairs?\n'",b'a.204.204.204.128/255.255.255.192 204.204.204.0/255.255.255.128 204.204.204.64/255.255.255.128',b'b.204.204.204.0/255.255.255.192 204.204.204.192/255.255.255.128 204.204.204.64/255.255.255.128',b'c.204.204.204.128/255.255.255.128 204.204.204.192/255.255.255.192 204.204.204.224/255.255.255.192',b'd.204.204.204.128/255.255.255.128 204.204.204.64/255.255.255.192 204.204.204.0/255.255.255.192',b'\nAnswer: (d).204.204.204.128/255.255.255.128 204.204.204.64/255.255.255.192 204.204.204.0/255.255.255.192\n'
"b'67.  Assume that ""host1.mydomain.dom"" has an IP address of 145.128.16.8. Which of the following options would be most appropriate as a subsequence of steps in performing the reverse lookup of 145.128.16.8? In the following options ""NS"" is an abbreviation of ""nameserver"".\n'","b'a.Query a NS for the root domain and then NS for the ""dom"" domains'","b'b.Directly query a NS for ""dom"" and then a NS for ""mydomain.dom"" domains'",b'c.Query a NS for in-addr.arpa and then a NS for 128.145.in-addr.arpa domains',b'd.Directly query a NS for 145.in-addr.arpa and then a NS for 128.145.in-addr.arpa domains',b'\nAnswer: (c).Query a NS for in-addr.arpa and then a NS for 128.145.in-addr.arpa domains\n'
b'68.  An IP datagram of size 1000 bytes arrives at a router. The router has to forward this packet on a link whose MTU (maximum transmission unit) is 100 bytes. Assume that the size of the IP header is 20 bytes. The number of fragments that the IP datagram will be divided into for transmission is :\n',b'a.10',b'b.50',b'c.12',b'd.13',b'\nAnswer: (d).13\n'
b'69.  Which of the following statements is TRUE ? \n',b'a.Both Ethernet frame and IP packet include checksum fields',b'b.Ethernet frame includes a checksum field and IP packet includes a CRC field',b'c.Ethernet frame includes a CRC field and IP packet includes a checksum field',b'd.Both Ethernet frame and IP packet include CRC fields',b'\nAnswer: (c).Ethernet frame includes a CRC field and IP packet includes a checksum field\n'
"b'70.  Two popular routing algorithms are Distance Vector(DV) and Link State (LS) routing. Which of the following are true?\r(S1) Count to infinity is a problem only with DV and not LS routing\r(S2) In LS, the shortest path algorithm is run only at one node\r(S3) In DV, the shortest path algorithm is run only at one node\r(S4) DV requires lesser number of network messages than LS\n'","b'a.S1, S2 and S4 only'","b'b.S1, S3 and S4 only'",b'c.S2 and S3 only',b'd.S1 and S4 only',b'\nAnswer: (d).S1 and S4 only\n'
"b'71.  Host X has IP address 192.168.1.97 and is connected through two routers R1 and R2 to an\xc2\xadother host Y with IP address 192.168.1.80. Router R1 has IP addresses 192.168.1.135 and 192.168.1.110. R2 has IP addresses 192.168.1.67 and 192.168.1.155. The netmask used in the network is 255.255.255.224. \r Given the information above, how many distinct subnets are guaranteed to already exist in the network?\n'",b'a.1',b'b.2',b'c.3',b'd.6',b'\nAnswer: (c).3\n'
"b'72.  The transport layer protocols used for real time multimedia, file transfer, DNS and email, respectively are:\n'","b'a.TCP, UDP, UDP and TCP'","b'b.UDP, TCP, TCP and UDP'","b'c.UDP, TCP, UDP and TCP'","b'd.TCP, UDP, TCP and UDP'","b'\nAnswer: (c).UDP, TCP, UDP and TCP\n'"
b'73.  Which of the following transport layer protocols is used to support electronic mail?\n',b'a.SMTP',b'b.IP',b'c.TCP',b'd.UDP',b'\nAnswer: (c).TCP\n'
b'74.  Consider an instance of TCP\xe2\x80\x99s Additive Increase Multiplicative Decrease (AIMD) algorithm where the window size at the start of the slow start phase is 2 MSS and the threshold at the start of the first transmission is 8 MSS. Assume that a timeout occurs during the fifth transmission. Find the congestion window size at the end of the tenth transmission.\n',b'a.8 MSS',b'b.14 MSS',b'c.7 MSS',b'd.12 MSS',b'\nAnswer: (c).7 MSS\n'
b'75.  A layer-4 firewall (a device that can look at all protocol headers up to the transport layer) CANNOT\n',b'a.block entire HTTP traffic during 9:00PM and 5 :0OAM',b'b.block all ICMP traffic',b'c.stop incoming traffic from a specific IP address but allow outgoing traffic to the same IP address',b'd.block TCP traffic from a specific user on a multi-user system during 9:00PM and 5:00AM',b'\nAnswer: (d).block TCP traffic from a specific user on a multi-user system during 9:00PM and 5:00AM\n'
"b'76.  While opening a TCP connection, the initial sequence number is to be derived using a time-of-day(ToD) clock that keeps running even when the host is down. The low order 32 bits of the counter of the ToD clock is to be used for the initial sequence numbers. The clock counter increments once per millisecond. The maximum packet lifetime is given to be 64s. Which one of the choices given below is closest to the minimum permissible rate at which sequence numbers used for packets of a connection can increase?\n'",b'a.0.015/s',b'b.0.064/s',b'c.0.135/s',b'd.0.327/s',b'\nAnswer: (a).0.015/s\n'
b'77.  Which of the following system calls results in the sending of SYN packets?\n',b'a.socket',b'b.bind',b'c.listen',b'd.connect',b'\nAnswer: (d).connect\n'
"b'78.  In the slow start phase of the TCP congestion control algorithm, the size of the congestion window\n'",b'a.does not increase',b'b.increases linearly',b'c.increases quadratically',b'd.increases exponentially',b'\nAnswer: (d).increases exponentially\n'
b'79.  Which one of the following uses UDP as the transport protocol?\n',b'a.HTTP',b'b.Telnet',b'c.DNS',b'd.SMTP',b'\nAnswer: (c).DNS\n'
b'80.  Let the size of congestion window of a TCP connection be 32 KB when a timeout occurs. The round trip time of the connection is 100 msec and the maximum segment size used is 2 KB. The time taken (in msec) by the TCP connection to get back to 32 KB congestion window is _________.\n',b'a.1100 to 1300',b'b.800 to 1000',b'c.1400 to 1600',b'd.1500 to 1700',b'\nAnswer: (a).1100 to 1300\n'
